,Country,Year,Population density (people per sq. km of land area),Score,Rank,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
0,Afghanistan,2015,52.7120715,3.575,153.0,7.5563,0.5144,49.6801,0.5384,0.1675,0.8119
1,Afghanistan,2016,54.19696106,3.36,154.0,0.3823,0.1104,0.1734,0.1643,0.3127,0.0711
2,Afghanistan,2017,55.59555035,3.794,141.0,0.401,0.582,0.181,0.106,0.312,0.061
3,Afghanistan,2018,56.93704929,3.632,145.0,0.332,0.537,0.255,0.085,0.191,0.036
4,Afghanistan,2019,58.26939466,3.203,154.0,0.35,0.517,0.361,0.0,0.158,0.025
5,Afghanistan,2020,59.62739485,2.566900015,153.0,7.4629,0.4704,52.59,0.3966,-0.0964,0.9337
18,Albania,2015,105.135146,4.959,95.0,9.2697,0.7246,68.1052,0.6553,-0.115,0.8642
19,Albania,2016,104.9671898,4.655,109.0,0.9553,0.5016,0.7301,0.3187,0.1684,0.053
20,Albania,2017,104.8706934,4.644,109.0,0.996,0.804,0.731,0.381,0.201,0.04
21,Albania,2018,104.6122628,4.586,112.0,0.916,0.817,0.79,0.419,0.149,0.032
22,Albania,2019,104.1675547,4.719,107.0,0.947,0.848,0.874,0.383,0.178,0.027
23,Albania,2020,103.5672628,4.882699966,105.0,9.4179,0.6711,68.7081,0.782,-0.0423,0.8963
24,Algeria,2015,16.68024357,5.605,68.0,9.4555,0.8392,61.0374,0.5874,-0.1969,0.6906
25,Algeria,2016,17.02594783,6.355,38.0,1.0527,0.8331,0.618,0.2101,0.0704,0.1616
26,Algeria,2017,17.37769724,5.872,53.0,1.092,1.146,0.618,0.233,0.069,0.146
27,Algeria,2018,17.73006175,5.295,84.0,0.979,1.154,0.687,0.077,0.055,0.135
28,Algeria,2019,18.07629545,5.211,88.0,1.002,1.16,0.785,0.086,0.073,0.114
29,Algeria,2020,18.41133986,5.005099773,100.0,9.538,0.8034,65.9052,0.4666,-0.1211,0.7355
42,Angola,2015,22.3665517,4.033,137.0,8.8991,0.7481,44.7468,0.4148,-0.1395,0.853
43,Angola,2016,23.13506216,3.866,141.0,0.8473,0.6637,0.0499,0.0059,0.1207,0.0843
44,Angola,2017,23.9165549,3.795,140.0,0.858,1.104,0.05,0.0,0.098,0.07
45,Angola,2018,24.71307211,3.795,142.0,0.73,1.125,0.269,0.0,0.079,0.061
60,Argentina,2015,15.76063274,6.574,30.0,9.8057,0.9107,67.1648,0.743,-0.1508,0.8314
61,Argentina,2016,15.92813508,6.65,26.0,1.1514,1.0661,0.6971,0.4228,0.1099,0.073
62,Argentina,2017,16.09419079,6.599,24.0,1.185,1.44,0.695,0.495,0.109,0.06
63,Argentina,2018,16.2585101,6.388,29.0,1.073,1.468,0.744,0.57,0.062,0.054
64,Argentina,2019,16.42082662,6.086,47.0,1.092,1.432,0.881,0.471,0.066,0.05
65,Argentina,2020,16.58089261,5.974699974,55.0,9.811,0.9006,68.8038,0.8311,-0.1949,0.842
66,Armenia,2015,102.7593607,4.35,127.0,8.931,0.7132,65.0931,0.5046,-0.1965,0.9039
67,Armenia,2016,103.131261,4.36,121.0,0.8609,0.6248,0.6408,0.1404,0.0779,0.0362
68,Armenia,2017,103.4348086,4.376,121.0,0.901,1.007,0.638,0.198,0.083,0.027
69,Armenia,2018,103.6789954,4.321,129.0,0.816,0.99,0.666,0.26,0.077,0.028
70,Armenia,2019,103.889287,4.559,116.0,0.85,1.055,0.815,0.283,0.095,0.064
71,Armenia,2020,104.0826835,4.676799774,116.0,9.1005,0.7575,66.7507,0.712,-0.1388,0.7735
78,Australia,2015,3.100112596,7.284,10.0,10.6644,0.9363,72.38,0.9341,0.257,0.4017
79,Australia,2016,3.144935531,7.313,9.0,1.4444,1.1048,0.8512,0.5684,0.4741,0.3233
80,Australia,2017,3.198361419,7.284,10.0,1.484,1.51,0.844,0.602,0.478,0.301
81,Australia,2018,3.24787091,7.272,10.0,1.34,1.573,0.91,0.647,0.361,0.302
82,Australia,2019,3.297670183,7.228,11.0,1.372,1.548,1.036,0.557,0.332,0.29
83,Australia,2020,3.339440225,7.222799778,12.0,10.7206,0.9449,73.6045,0.9154,0.1905,0.4152
84,Austria,2015,104.7345977,7.2,13.0,10.6756,0.9311,70.8936,0.9086,0.124,0.6701
85,Austria,2016,105.8733398,7.119,12.0,1.4504,1.0838,0.8056,0.5436,0.3286,0.2135
86,Austria,2017,106.6113185,7.006,13.0,1.487,1.46,0.815,0.568,0.316,0.221
87,Austria,2018,107.1318589,7.139,12.0,1.341,1.504,0.891,0.617,0.242,0.224
88,Austria,2019,107.6093068,7.246,10.0,1.376,1.475,1.016,0.532,0.244,0.226
89,Austria,2020,108.0611367,7.294199944,9.0,10.7428,0.928,73.0025,0.9,0.0854,0.5
90,Azerbaijan,2015,116.7310768,5.212,80.0,9.7149,0.7806,61.8611,0.6676,-0.1972,0.7114
91,Azerbaijan,2016,118.033289,5.291,81.0,1.1237,0.7604,0.545,0.3533,0.0564,0.1791
92,Azerbaijan,2017,119.2087416,5.234,85.0,1.154,1.152,0.541,0.398,0.045,0.181
93,Azerbaijan,2018,120.2575919,5.201,87.0,1.024,1.161,0.603,0.43,0.031,0.176
94,Azerbaijan,2019,121.2800711,5.208,90.0,1.043,1.147,0.769,0.351,0.035,0.182
95,Azerbaijan,2020,122.3185327,5.164800167,89.0,9.6877,0.8193,65.5084,0.7868,-0.2403,0.5525
102,Bahrain,2015,1763.307198,5.96,49.0,10.6343,0.8973,65.7168,0.7479,-0.0757,0.4815
103,Bahrain,2016,1830.286264,6.218,42.0,1.4402,0.944,0.657,0.4738,0.1715,0.2577
104,Bahrain,2017,1915.483333,6.087,41.0,1.488,1.323,0.653,0.537,0.173,0.257
105,Bahrain,2018,2012.102564,6.105,43.0,1.338,1.366,0.698,0.594,0.243,0.123
106,Bahrain,2019,2104.05641,6.199,37.0,1.362,1.368,0.871,0.536,0.255,0.11
107,Bahrain,2020,2181.516667,6.227300167,40.0,10.6764,0.8763,68.5,0.9059,0.1337,0.7393
108,Bangladesh,2015,1200.401682,4.694,109.0,7.7946,0.5681,60.4584,0.7036,-0.0267,0.7668
109,Bangladesh,2016,1213.62181,4.643,110.0,0.5418,0.2475,0.5299,0.3978,0.1913,0.1258
110,Bangladesh,2017,1226.745187,4.608,110.0,0.587,0.735,0.533,0.478,0.172,0.124
111,Bangladesh,2018,1239.738135,4.5,115.0,0.532,0.85,0.579,0.58,0.153,0.144
112,Bangladesh,2019,1252.563363,4.456,125.0,0.562,0.928,0.723,0.527,0.166,0.143
113,Bangladesh,2020,1265.186932,4.832799911,107.0,8.2871,0.6873,64.5031,0.9006,-0.0337,0.6618
120,Belarus,2015,46.75194356,5.813,59.0,9.7395,0.9042,65.3164,0.6762,-0.1559,0.6636
121,Belarus,2016,46.8083532,5.802,61.0,1.1306,1.0499,0.631,0.2909,0.1394,0.1746
122,Belarus,2017,46.79178285,5.569,67.0,1.157,1.445,0.638,0.295,0.155,0.156
123,Belarus,2018,46.72134693,5.483,73.0,1.039,1.498,0.7,0.307,0.101,0.154
124,Belarus,2019,46.39791605,5.323,81.0,1.067,1.465,0.789,0.235,0.094,0.142
125,Belarus,2020,46.30436989,5.539899826,75.0,9.7799,0.9067,66.1043,0.6392,-0.1649,0.6357
126,Belgium,2015,372.3314399,6.937,19.0,10.5854,0.9264,71.1193,0.8708,-0.0136,0.609
127,Belgium,2016,374.2213342,6.929,18.0,1.4254,1.0525,0.8196,0.5135,0.2424,0.2625
128,Belgium,2017,375.6657199,6.891,17.0,1.464,1.462,0.818,0.54,0.232,0.251
129,Belgium,2018,377.3795905,6.927,16.0,1.324,1.483,0.894,0.583,0.188,0.24
130,Belgium,2019,379.4247028,6.923,18.0,1.356,1.504,0.986,0.473,0.16,0.21
131,Belgium,2020,381.6379458,6.863500118,20.0,10.6736,0.9116,72.0016,0.8136,-0.0787,0.6123
133,Belize,2016,16.15076721,5.956,52.0,0.8762,0.6865,0.4557,0.5123,0.2368,0.1077
134,Belize,2017,16.47413415,5.956,50.0,0.908,1.081,0.45,0.548,0.24,0.097
135,Belize,2018,16.79399386,5.956,49.0,0.807,1.101,0.474,0.593,0.183,0.089
138,Benin,2015,93.79178787,3.34,155.0,7.4546,0.5357,50.249,0.7759,-0.0643,0.8389
139,Benin,2016,96.41780773,3.484,153.0,0.395,0.1042,0.2103,0.3975,0.2018,0.0668
140,Benin,2017,99.10599503,3.657,143.0,0.431,0.435,0.21,0.426,0.208,0.061
141,Benin,2018,101.8538045,4.141,136.0,0.378,0.372,0.24,0.44,0.163,0.067
142,Benin,2019,104.6572455,4.883,102.0,0.393,0.437,0.397,0.349,0.175,0.082
143,Benin,2020,107.5132849,5.21600008,86.0,7.6743,0.4687,54.3125,0.7352,-0.0035,0.7405
150,Bhutan,2015,19.09607262,5.253,79.0,8.9378,0.8502,59.4622,0.8211,0.3134,0.7213
151,Bhutan,2016,19.31381082,5.196,84.0,0.8527,0.9084,0.4976,0.4607,0.4855,0.1616
152,Bhutan,2017,19.54600986,5.011,97.0,0.885,1.34,0.496,0.502,0.474,0.173
153,Bhutan,2018,19.77965391,5.082,97.0,0.796,1.335,0.527,0.541,0.364,0.171
154,Bhutan,2019,20.00770844,5.082,95.0,0.813,1.321,0.604,0.457,0.37,0.167
156,Bolivia,2015,10.0339075,5.89,51.0,8.6647,0.7976,58.2022,0.861,-0.0354,0.8264
157,Bolivia,2016,10.18353365,5.822,59.0,0.7942,0.8378,0.4697,0.5096,0.217,0.0775
158,Bolivia,2017,10.33218222,5.823,58.0,0.834,1.228,0.474,0.559,0.226,0.06
159,Bolivia,2018,10.480144,5.752,62.0,0.751,1.223,0.508,0.606,0.141,0.054
160,Bolivia,2019,10.62780578,5.779,61.0,0.776,1.209,0.706,0.511,0.137,0.064
161,Bolivia,2020,10.77543524,5.747499943,65.0,8.8511,0.8031,63.6005,0.8759,-0.0917,0.8226
162,Bosnia and Herzegovina,2015,66.97972656,4.949,96.0,9.1273,0.7727,67.2941,0.404,0.0189,0.9621
163,Bosnia and Herzegovina,2016,66.13794922,5.163,87.0,0.9338,0.6437,0.7077,0.0951,0.2989,0.0
164,Bosnia and Herzegovina,2017,65.45964844,5.182,90.0,0.982,1.069,0.705,0.204,0.329,0.0
165,Bosnia and Herzegovina,2018,64.92048828,5.129,93.0,0.915,1.078,0.758,0.28,0.216,0.0
166,Bosnia and Herzegovina,2019,64.47261719,5.386,78.0,0.945,1.212,0.845,0.212,0.263,0.006
167,Bosnia and Herzegovina,2020,64.07841797,5.674099922,69.0,9.4558,0.8292,67.8081,0.6514,0.0983,0.9338
168,Botswana,2015,3.742021774,4.332,128.0,9.6219,0.8505,40.4443,0.7859,-0.1634,0.7683
169,Botswana,2016,3.811206395,3.974,137.0,1.0943,0.8919,0.3475,0.4409,0.1243,0.1077
170,Botswana,2017,3.890875726,3.766,142.0,1.122,1.222,0.342,0.505,0.099,0.099
171,Botswana,2018,3.97732077,3.59,146.0,1.017,1.174,0.417,0.557,0.042,0.092
172,Botswana,2019,4.064903923,3.488,148.0,1.041,1.145,0.538,0.455,0.025,0.1
173,Botswana,2020,4.149462707,3.478899956,147.0,9.7112,0.7791,58.9245,0.8213,-0.2504,0.7779
174,Brazil,2015,24.46378728,6.983,16.0,9.5841,0.9042,63.9052,0.7816,-0.1111,0.6884
175,Brazil,2016,24.66614055,6.952,17.0,1.0875,1.0394,0.6142,0.4043,0.1578,0.1417
176,Brazil,2017,24.86603778,6.635,22.0,1.107,1.431,0.617,0.437,0.162,0.111
177,Brazil,2018,25.06171469,6.419,28.0,0.986,1.474,0.675,0.493,0.11,0.088
178,Brazil,2019,25.25077577,6.3,32.0,1.004,1.439,0.802,0.39,0.099,0.086
179,Brazil,2020,25.43142481,6.375599861,32.0,9.5664,0.8967,66.4802,0.7998,-0.1018,0.7706
192,Bulgaria,2015,66.120035,4.218,134.0,9.6789,0.8511,66.4154,0.6065,-0.1448,0.9519
193,Bulgaria,2016,65.65790346,4.217,129.0,1.1131,0.9254,0.6781,0.2122,0.1279,0.0062
194,Bulgaria,2017,65.18005711,4.714,105.0,1.161,1.434,0.708,0.289,0.113,0.011
195,Bulgaria,2018,64.71109985,4.933,100.0,1.054,1.515,0.712,0.359,0.064,0.009
196,Bulgaria,2019,64.25719418,5.011,97.0,1.092,1.513,0.815,0.311,0.081,0.004
197,Bulgaria,2020,63.81068534,5.101500034,96.0,9.8693,0.9378,66.804,0.7452,-0.1439,0.9356
198,Burkina Faso,2015,66.19377193,3.587,152.0,7.3671,0.7445,48.5199,0.691,-0.02,0.7626
199,Burkina Faso,2016,68.15186404,3.739,145.0,0.32,0.6305,0.213,0.3337,0.2435,0.1253
200,Burkina Faso,2017,70.15071637,4.032,134.0,0.35,1.043,0.216,0.324,0.251,0.12
201,Burkina Faso,2018,72.1910307,4.424,121.0,0.314,1.097,0.254,0.312,0.175,0.128
202,Burkina Faso,2019,74.27406067,4.587,115.0,0.331,1.056,0.38,0.255,0.177,0.113
203,Burkina Faso,2020,76.40086988,4.768700123,112.0,7.4685,0.7129,53.8895,0.6656,-0.0191,0.7398
204,Burundi,2015,395.6399533,2.905,157.0,6.6227,0.5617,46.8113,0.4287,-0.0457,0.8064
205,Burundi,2016,408.4112928,2.905,157.0,0.0683,0.2344,0.1575,0.0432,0.2029,0.0942
206,Burundi,2017,421.6125389,2.905,154.0,0.092,0.63,0.152,0.06,0.204,0.084
207,Burundi,2018,435.17831,2.905,156.0,0.091,0.627,0.145,0.065,0.149,0.076
208,Burundi,2019,449.0100078,3.775,145.0,0.046,0.447,0.38,0.22,0.176,0.18
209,Burundi,2020,463.0366433,3.775300026,140.0,6.4926,0.4903,53.4,0.6264,-0.0176,0.6069
216,Cambodia,2015,87.93017788,3.819,145.0,7.9873,0.6504,60.8018,0.9448,0.2164,0.851
217,Cambodia,2016,89.31730116,3.907,140.0,0.556,0.5375,0.4249,0.5885,0.4034,0.0809
218,Cambodia,2017,90.69461251,4.168,129.0,0.602,1.006,0.43,0.633,0.386,0.068
219,Cambodia,2018,92.05639588,4.433,120.0,0.549,1.088,0.457,0.696,0.256,0.065
220,Cambodia,2019,93.39758668,4.7,109.0,0.574,1.122,0.637,0.609,0.232,0.062
221,Cambodia,2020,94.71431566,4.848400116,106.0,8.2499,0.7731,61.53,0.9597,0.0519,0.8228
222,Cameroon,2015,49.28682702,4.252,133.0,7.8711,0.7595,47.1749,0.7841,-0.0344,0.8741
223,Cameroon,2016,50.61570307,4.513,114.0,0.525,0.6254,0.127,0.4274,0.2268,0.0613
224,Cameroon,2017,51.96858539,4.695,107.0,0.564,0.946,0.133,0.43,0.236,0.051
225,Cameroon,2018,53.34403969,4.975,99.0,0.535,0.891,0.182,0.454,0.183,0.043
226,Cameroon,2019,54.7405111,5.044,96.0,0.549,0.91,0.331,0.381,0.187,0.037
227,Cameroon,2020,56.15676419,5.084899902,98.0,8.1186,0.7004,52.7049,0.7631,-0.0015,0.8513
228,Canada,2015,3.982215114,7.427,5.0,10.642,0.9419,71.4432,0.9168,0.2856,0.4441
229,Canada,2016,4.027563942,7.404,6.0,1.4401,1.0961,0.8276,0.5737,0.4483,0.3133
230,Canada,2017,4.076172901,7.316,7.0,1.479,1.481,0.835,0.611,0.436,0.287
231,Canada,2018,4.13415938,7.328,7.0,1.33,1.532,0.896,0.653,0.321,0.291
232,Canada,2019,4.193074187,7.278,9.0,1.365,1.505,1.039,0.584,0.285,0.308
233,Canada,2020,4.239011376,7.23210001,11.0,10.6924,0.9272,73.6016,0.9339,0.1248,0.3908
246,Central African Republic,2015,7.212384025,3.678,148.0,6.8165,0.3874,41.1392,0.78,0.0065,0.8345
248,Central African Republic,2017,7.377480818,2.693,155.0,0.0,0.0,0.019,0.271,0.281,0.057
249,Central African Republic,2018,7.490409002,3.083,155.0,0.024,0.0,0.01,0.305,0.218,0.038
250,Central African Republic,2019,7.616904234,3.083,155.0,0.026,0.0,0.105,0.225,0.235,0.035
251,Central African Republic,2020,7.752679059,3.475899935,149.0,6.6252,0.3195,45.2,0.6409,0.0824,0.8918
258,Chad,2015,11.20629844,3.667,149.0,7.6241,0.7063,44.1423,0.5393,-0.0627,0.8823
259,Chad,2016,11.56421379,3.763,144.0,0.4221,0.6318,0.0382,0.1281,0.1867,0.0495
260,Chad,2017,11.92563612,3.936,137.0,0.438,0.954,0.041,0.162,0.216,0.054
261,Chad,2018,12.29171458,4.301,131.0,0.358,0.907,0.053,0.189,0.181,0.06
262,Chad,2019,12.66429638,4.35,132.0,0.35,0.766,0.192,0.174,0.198,0.078
263,Chad,2020,13.04467837,4.422699928,127.0,7.468,0.6324,48.2205,0.5873,0.0178,0.8028
270,Chile,2015,24.16756239,6.67,27.0,9.9702,0.8588,69.7426,0.735,0.1275,0.762
271,Chile,2016,24.48996412,6.705,24.0,1.2167,0.9059,0.8188,0.3779,0.316,0.1145
272,Chile,2017,24.84147959,6.652,20.0,1.253,1.284,0.819,0.377,0.327,0.082
273,Chile,2018,25.18945519,6.476,25.0,1.131,1.331,0.808,0.431,0.197,0.061
274,Chile,2019,25.48919885,6.444,26.0,1.159,1.369,0.92,0.357,0.187,0.056
275,Chile,2020,25.71000172,6.228499889,39.0,10.0321,0.8797,69.9006,0.7449,-0.0657,0.8382
276,China,2015,145.4921426,5.14,84.0,9.3048,0.7843,68.2254,0.8067,-0.1923,0.9217
277,China,2016,146.282102,5.245,83.0,1.0278,0.7938,0.7356,0.4401,0.0496,0.0275
278,China,2017,147.1022825,5.273,79.0,1.081,1.161,0.741,0.473,0.029,0.023
279,China,2018,147.7744195,5.246,86.0,0.989,1.142,0.799,0.597,0.029,0.103
280,China,2019,148.3033486,5.191,93.0,1.029,1.125,0.893,0.521,0.058,0.1
281,China,2020,148.7698885,5.123899937,94.0,9.6886,0.7988,69.2892,0.8985,-0.1814,0.754
282,Colombia,2015,42.83070482,6.477,33.0,9.3921,0.9073,63.6792,0.8235,-0.0625,0.8847
283,Colombia,2016,43.42050293,6.481,31.0,1.0303,1.0217,0.5966,0.4473,0.1563,0.054
284,Colombia,2017,44.08277963,6.357,36.0,1.071,1.402,0.595,0.477,0.149,0.047
285,Colombia,2018,44.75985219,6.26,37.0,0.96,1.439,0.635,0.531,0.099,0.039
286,Colombia,2019,45.37128707,6.125,43.0,0.985,1.41,0.841,0.47,0.099,0.034
287,Colombia,2020,45.86109419,6.163400173,44.0,9.5004,0.8844,67.6996,0.8362,-0.1612,0.8646
288,Comoros,2015,417.751209,3.956,140.0,7.3087,0.7197,51.8408,0.5337,-0.0747,0.6508
289,Comoros,2016,427.5104782,3.956,138.0,0.2751,0.6032,0.2998,0.1541,0.1827,0.1844
292,Comoros,2019,457.222461,3.973,142.0,0.274,0.757,0.505,0.142,0.275,0.078
293,Comoros,2020,467.2729715,4.288599968,134.0,7.8336,0.6257,57.349,0.5476,0.09,0.7806
306,Costa Rica,2015,94.943302,7.226,12.0,9.5061,0.9063,69.8042,0.9175,0.0276,0.7982
307,Costa Rica,2016,95.95252644,7.087,14.0,1.0688,1.0215,0.7615,0.5523,0.2255,0.1055
308,Costa Rica,2017,96.94388954,7.079,12.0,1.11,1.416,0.76,0.58,0.215,0.1
309,Costa Rica,2018,97.91310223,7.072,13.0,1.01,1.459,0.817,0.632,0.143,0.101
310,Costa Rica,2019,98.85548374,7.167,12.0,1.034,1.441,0.963,0.558,0.144,0.093
311,Costa Rica,2020,99.76721504,7.121399879,15.0,9.6582,0.9015,71.2999,0.9347,-0.1024,0.7863
318,Croatia,2015,74.28174589,5.759,62.0,9.8947,0.7212,67.1945,0.5619,-0.2271,0.9272
319,Croatia,2016,73.76478176,5.488,74.0,1.1865,0.6081,0.7052,0.2391,0.1843,0.04
320,Croatia,2017,72.88444955,5.293,77.0,1.223,0.968,0.701,0.256,0.248,0.043
321,Croatia,2018,72.23613713,5.321,82.0,1.115,1.161,0.737,0.38,0.12,0.039
322,Croatia,2019,71.83694999,5.432,75.0,1.155,1.266,0.914,0.296,0.119,0.022
323,Croatia,2020,71.51793603,5.504700184,79.0,10.0709,0.8746,70.2149,0.7148,-0.1285,0.9165
336,Cyprus,2015,125.6479437,5.689,67.0,10.2797,0.7618,72.0912,0.7022,0.0929,0.8684
337,Cyprus,2016,126.6438312,5.546,69.0,1.3186,0.707,0.8488,0.2951,0.2791,0.0523
338,Cyprus,2017,127.6715368,5.621,65.0,1.356,1.131,0.845,0.355,0.271,0.041
339,Cyprus,2018,128.7080087,5.762,61.0,1.229,1.191,0.909,0.423,0.202,0.035
340,Cyprus,2019,129.7158009,6.046,49.0,1.263,1.223,1.042,0.406,0.19,0.041
341,Cyprus,2020,130.6667749,6.15899992,45.0,10.4057,0.806,73.7022,0.7799,0.0437,0.8563
342,Czech Republic,2015,136.589289,6.505,31.0,10.1904,0.8932,69.2462,0.7562,-0.1605,0.9237
343,Czech Republic,2016,136.8341362,6.596,27.0,1.3092,1.0079,0.7638,0.4142,0.0993,0.0399
